species,totalCount
Catochrysops strabo,8405
Catopsilia pomona,23292
Cuculus sparverioides,187
Ehretia aspera,400
Euphorbia royleana,331
Gentiana kurroo,174
Hultholia mimosoides,533
Ichnocarpus frutescens,921
Ischnura nursei,2588
Jatropha integerrima,1430
Mikania scandens,86
Pachliopta pandiyana,447
Parathyma selenophora,1143
Pyrrhocorax graculus,358
Sitana laticeps,973
Spathodea campanulata,4413
Sterna sumatrana,345
Tephrodornis pondicerianus,981
Tithonia diversifolia,621
Yuhina gularis,117
Antidesma acidum,491
Delphinium dasycaulon,27
Eyprepocnemis alacris,20
Indopoa paupercula,120
Spirama helicina,91
Alcippe nipalensis,161
Cadaba trifoliata,175
Diplocentrum recurvum,169
Myotis formosus,36
Anous tenuirostris,146
Begonia grandis,336
Kandelia candel,73
Lobelia alsinoides,181
Menemerus nigli,86
Niltava sundara,195
Osteochilichthys brevidorsalis,184
Allium hookeri,205
Arhopala centaurus,3004
Calesia stillifera,327
Calotes minor,113
Cratilla lineata,422
Eriocaulon heterolepis,197
Fowlea tytleri,819
Gyps indicus,1152
Hibiscus ovalifolius,36
Lannea coromandelica,3577
Mahathala ameria,1784
Murraya paniculata,1753
Porzana pusilla,217
Rotala malampuzhensis,303
Uperodon taprobanicus,6942
Xyleutes persona,562
Acacia pycnantha,131
Cinnyris jugularis,51
Garcinia celebica,192
Microtropis ramiflora,182
Pyrrosia heterophylla,181
Connarus paniculatus,28
Polyphena herbifera,147
Coleus scutellarioides,60
Gloxinia perennis,136
Pogostemon cablin,131
Rostellularia diffusa,80
Anthurium andraeanum,720
Attatha regalis,306
Badis badis,244
Cayratia pedata,289
Columba elphinstonii,526
Cyrestis thyodamas,5847
Dacalana pencilligera,146
Delias pasithoe,2361
Ficedula albicilla,1121
Gametis versicolor,269
Gomphidia leonorae,138
Indigofera linnaei,1189
Lasianthus parvifolius,64
Lygosoma punctata,1737
Megaceryle lugubris,884
Micrixalus phyllophilus,557
Nisaetus cirrhatus,2749
Otus lettia,607
Parotis marginata,694
Pinus wallichiana,23
Plumeria rubra,1538
Sasia ochracea,163
Solanum laxum,210
Tabernaemontana alternifolia,303
Taractrocera maevius,1857
Tetrapilus dioicus,865
Trochalopteron lineatum,641
Vindula erota,2939
Agathis robusta,132
Ceiba speciosa,226
Grandala coelicolor,41
Humerana humeralis,483
Polypedates insularis,492
Psimada quadripennis,205
Rosa brunonii,56
Zale minerea,198
Caduca albopunctata,164
Lestranicus transpectus,121
Mus musculus,163
Tanaecia jahnu,139
Uropeltis ellioti,360
Leea alata,131
Achyranthes aspera,899
Allamanda blanchetii,557
Charaxes psaphon,2369
Drosicha mangiferae,99
Ficedula westermanni,389
Hegeter tristis,288
Ipomoea aquatica,488
Labeo dussumieri,130
Morenia petersi,243
Osbeckia nepalensis,179
Pareuchaetes pseudoinsulata,232
Phyla nodiflora,1056
Polygala arillata,230
Triumfetta obliqua,143
Zinnia elegans,959
Blythophryne beryet,339
Chloropsis cochinchinensis,197
Eublepharis fuscus,349
Solanum violaceum,217
Vatica lanceifolia,84
Canna indica,912
Codonopsis rotundifolia,124
Labeo pangusia,194
Smithia sensitiva,259
Sonerila wallichii,163
Anas platyrhynchos,422
Ardeola bacchus,96
Bindahara phocides,133
Combretum indicum,2010
Dercas verhuelli,191
Dracaena reflexa,411
Everes lacturnus,1225
Hydrillodes lentalis,284
Leiopicus mahrattensis,733
Malacocincla abbotti,348
Meliosma simplicifolia,635
Nicotiana tabacum,263
Pellorneum tickelli,195
Phyllanthus urinaria,470
Rhagastis olivacea,102
Sarada superba,328
Tragia involucrata,813
Berberis jaeschkeana,115
Glinus oppositifolius,563
Orphanostigma abruptalis,96
Papilio alcmenor,204
Persicaria nepalensis,237
Rudakius ludhianaensis,122
Salvinia molesta,135
Todiramphus chloris,1143
Chascanum hyderabadense,97
Discophora lepida,448
Furcraea foetida,137
Knoxia sumatrensis,51
Loepa schintlmeisteri,68
Myiomela albiventris,76
Salvadora oleoides,432
Andrographis elongata,115
Clausena indica,125
Columba eversmanni,81
Gomphandra coriacea,153
Pseudoplectrurus canaricus,131
Erebus macrops,4898
Indirana leithii,216
Juniperus chinensis,43
Riopa lineata,623
Roylea cinerea,121
Strophanthus wightianus,110
Suada swerga,7
Utetheisa pulchella,1520
Ludwigia adscendens,799
Lycodon nympha,190
Pogostemon benghalensis,565
Pulvinaria polygonata,60
Turdoides caudata,735
Canscora diffusa,136
Lanius isabellinus,29
Miletus chinensis,93
Passiflora vesicaria,17
Boerhavia coccinea,95
Areas galactina,302
Bismarckia nobilis,323
Bungarus fasciatus,571
Cordia dichotoma,1760
Erebus ephesperis,1667
Horaga onyx,165
Musotima suffusalis,130
Nyctibatrachus acanthodermis,326
Papilio paris,3894
Polyalthia fragrans,451
Psilopogon viridis,1307
Salvadora persica,255
Sarkidiornis melanotos,570
Trachyspermum ammi,366
Vulpes bengalensis,1077
Abelmoschus ficulneus,490
Cajanus albicans,44
Capparis grandis,245
Hewittia malabarica,150
Lestes praemorsus,367
Lutjanus argentimaculatus,1
Mergus merganser,506
Puntius bimaculatus,368
Trichodesma indicum,274
Trochalopteron cachinnans,299
Arnebia hispidissima,8
Cyme euprepioides,192
Dalbergia pinnata,21
Hoya wightii,46
Limenitis procris,73
Stenaelurillus metallicus,143
Xylotrupes gideon,202
Ancistrocladus heyneanus,286
Citrus medica,254
Eudocima cocalus,191
Eurema andersoni,704
Guettarda speciosa,324
Markhamia lutea,1787
Mimathyma ambica,564
Pelopidas conjuncta,1835
Pseudergolis wedah,1150
Ruellia prostrata,193
Sambucus canadensis,171
Arisaema griffithii,92
Betula alnoides,84
Cordyline fruticosa,808
Crocidura fuliginosa,56
Diospyros ovalifolia,109
Otus brucei,135
Solanum diphyllum,405
Acacia maidenii,165
Chalybion bengalense,167
Paeonia emodi,60
Rostellularia adscendens,79
Solanum anguivi,362
Caulerpa racemosa,33
Cupressus macrocarpa,8
Onychoprion fuscatus,60
Acrocephalus bistrigiceps,166
Anthus nilghiriensis,744
Baccaurea ramiflora,388
Bufoniceps laungwalaensis,884
Clematis connata,204
Cyclosa hexatuberculata,37
Dupetor flavicollis,1029
Gymnosporia emarginata,242
Harpactes erythrocephalus,1144
Indosylvirana flavescens,583
Leptoptilos dubius,450
Leucinodes orbonalis,1073
Memecylon umbellatum,2793
Salea anamallayana,686
Solanum virginianum,678
Tanaoctenia haliaria,162
Zamioculcas zamiifolia,403
Phalacra vidhisara,162
Argyrocosma inductaria,174
Bistorta vacciniifolia,1
Celtis timorensis,125
Gaultheria fragrantissima,113
Leea macrophylla,229
Lobularia maritima,152
Malva sylvestris,181
Turdus obscurus,209
Allophylus cobbe,549
Helianthus annuus,660
Kittacincla malabarica,824
Limosa limosa,2026
Luscinia svecica,1103
Nilssonia leithii,1772
Nyctemera lacticinia,974
Oroxylum indicum,1674
Pycnonotus leucotis,1179
Rotheca serrata,1193
Telicota colon,1493
Turnera ulmifolia,1531
Zingiber montanum,212
Arundinella leptochloa,86
Celaenorrhinus aurivittata,229
Croton aromaticus,392
Impatiens cordata,95
Lemna aequinoctialis,152
Metapercnia ductaria,113
Ochna integerrima,167
Porzana fusca,235
Pseudothemis zonata,175
Ligularia amplexicaulis,114
Palaquium ravii,192
Aristocypha cuneata,55
Phocoderma velutina,208
Acmella oleracea,389
Aeromachus pygmaeus,1546
Blumea lacera,281
Bridelia retusa,2774
Discolampa ethion,4151
Eristalinus arvorum,232
Funambulus tristriatus,961
Herpestes smithii,516
Junonia iphita,25843
Lassaba albidaria,245
Muntiacus muntjak,2704
Orthotomus atrogularis,144
Spelaeornis badeigularis,145
Surendra quercetorum,2733
Tradescantia pallida,729
Urocissa erythroryncha,256
Amblychia angeronaria,182
Argostemma courtallense,98
Dendrocopos macei,830
Herpestes fuscus,71
Metanastria aconyta,96
Coelogyne breviscapa,80
Emberiza cia,187
Petaurista elegans,64
Pila olea,172
Tylorida ventralis,130
Zygogramma bicolorata,252
Adina cordifolia,157
Impatiens chinensis,132
Antidesma montanum,792
Bougainvillea glabra,2311
Clerodendrum paniculatum,1587
Dracaena terniflora,88
Eupterote mollifera,601
Herpestes javanicus,1006
Pantoporia paraka,397
Parotis suralis,190
Petrelaea dana,702
Piper nigrum,1746
Raorchestes flaviventris,241
Rapala pheretima,963
Tor khudree,772
Trichogaster fasciata,159
Turdoides striata,6578
Columba leuconota,206
Cyclodes omma,190
Eriovixia laglaizei,403
Heterostegane subtessellata,332
Leptadenia reticulata,156
Thunbergia coccinea,762
Glycythyma chrysorycta,72
Mucuna monosperma,131
Olax imbricata,238
Papilio slateri,263
Trifolium repens,308
Verbena bipinnatifida,113
Aglaia spectabilis,174
Manihot carthaginensis,115
Vanda alpina,149
Breynia vitis-idaea,844
Daphnis hypothous,145
Garcinia gummi-gutta,1779
Hemipilia chusua,75
Imperata cylindrica,57
Junonia almana,29533
Psidium guineense,153
Dicaeum chrysorrheum,285
Kalanchoe daigremontiana,179
Langona davidi,32
Leptocentrus taurus,396
Parathyma asura,995
Asota heliconia,72
Pristolepis marginata,95
Theretra sumatrensis,28
Walkerana phrynoderma,101
Carrhotus sannio,211
Charaxes aristogiton,151
Ephedra ciliata,97
Asymblepharus himalayanus,644
Bidens pilosa,706
Bougainvillea spectabilis,311
Charaxes solon,4999
Cnemaspis ornata,62
Cycas rumphii,280
Dinopium benghalense,7527
Eressa confinis,650
Euphlyctis cyanophlyctis,8052
Hemixos flavala,402
Kaloula assamensis,350
Lethe distans,305
Lissemys punctata,16650
Motacilla alba,4390
Myotis horsfieldii,135
Phoenicurus erythrogastrus,110
Pogostemon wightii,147
Streblus asper,1026
Swietenia macrophylla,1908
Uropeltis bicatenata,647
Bruguiera cylindrica,361
Equisetum arvense,136
Speiredonia mutabilis,253
Micrixalus specca,133
Tinolius eburneigutta,22
Toxicodendron succedaneum,42
Vachellia farnesiana,52
Bulbophyllum gymnopus,196
Ipomoea campanulata,3
Ypthima nareda,139
Eutropis macularia,1476
Helicia nilagirica,179
Hemicircus canente,1315
Ischnura elegans,52
Leucauge fastigata,1298
Micrixalus sairandhri,57
Microhyla rubra,1238
Micronia aculeata,8126
Pterospermum diversifolium,1089
Remelana jangala,571
Sirinopteryx rufivinctata,232
Spilornis cheela,8489
Stegodyphus tibialis,211
Sterculia foetida,1442
Turnera subulata,619
Vepris bilocularis,492
Wrightia antidysenterica,13
Chiridopsis bipunctata,248
Conocarpus lancifolius,350
Ficedula superciliaris,90
Galerida deva,262
Iduna aedon,224
Macromia irata,184
Oenanthe fusca,702
Persicaria attenuata,154
Syrrhaptes tibetanus,141
Thysanolaena latifolia,308
Delias berinda,102
Flemingia macrophylla,156
Jansenella griffithiana,8
Lanius meridionalis,200
Pyrrhoplectes epauletta,3
Amphigonia hepatizans,13
Herminium edgeworthii,124
Kaestlea palnica,167
Aegithina nigrolutea,129
Aglaomorpha plagiata,1155
Caleta elna,1797
Dendrobium aphyllum,834
Graphium nomius,2930
Hellenia speciosa,316
Isocentris filalis,645
Lestes concinnus,923
Papilionanthe teres,264
Pelecanus philippensis,3178
Phalacrocorax fuscicollis,2088
Pycnonotus priocephalus,536
Ramadasa pavo,443
Sterculia guttata,1105
Tyto alba,2348
Woodfordia fruticosa,885
Bergenia ciliata,122
Cleistanthus collinus,313
Garrulax ruficollis,734
Pomadasys furcatus,99
Rosa indica,92
Argiope caesarea,164
Crinum bulbispermum,164
Elaeis guineensis,154
Diospyros candolleana,9
Alsophila nilgirensis,135
Amyna punctum,407
Artamus fuscus,3031
Callistemon citrinus,1272
Elaeagnus conferta,897
Eucalyptus globulus,1629
Gardenia jasminoides,545
Grevillea robusta,3160
Ipomoea indica,745
Lanius schach,5374
Lobelia nicotianifolia,907
Mycalesis perseus,8090
Pseudoxenodon macrops,347
Santalum album,2936
Sphenomorphus maculatus,1028
Synedrella nodiflora,2175
Tabebuia aurea,951
Tatobotys biannulalis,273
Berta chrysolineata,14
Conogethes punctiferalis,427
Eutectona machoeralis,119
Matrona basilaris,250
Nothopegia heyneana,50
Passiflora vitifolia,220
Theretra oldenlandiae,426
Trichosanthes dioica,43
Bonnaya ciliata,422
Clanis bilineata,193
Heliotropium zeylanicum,146
Bidens bipinnata,135
Pipistrellus javanicus,32
Pisonia aculeata,103
Solanum wightii,79
Waltheria indica,166
Asemonea tenuipes,699
Capparis divaricata,447
Couroupita guianensis,4749
Dryocopus javensis,674
Euphorbia pulcherrima,1085
Euthalia monina,594
Falco subbuteo,324
Gaeana maculata,10
Garcinia talbotii,264
Hugonia mystax,189
Neptis sappho,511
Panthera leo,802
Phalacrocorax carbo,4091
Pigea enneasperma,488
Plumeria obtusa,2148
Poritia hewitsoni,598
Raorchestes anili,1634
Smithsonia viridiflora,351
Actinodaphne tadulingamii,296
Capparis grandiflora,240
Haematopus ostralegus,294
Plumbago auriculata,604
Cheiracanthium danieli,16
Esme longistyla,335
Flacourtia latifolia,106
Teretrurus sanguineus,254
Victoria amazonica,38
Coleus hadiensis,35
Euphorbia katrajensis,162
Nymphaea candida,209
Prinia crinigera,197
Trichogaster lalius,88
Aspidimorpha furcata,224
Aythya fuligula,625
Caltoris kumara,1624
Coelognathus flavolineatus,212
Gallus sonneratii,1557
Globba marantina,165
Heterophragma quadriloculare,1220
Mangifera indica,18127
Manis pentadactyla,29
Melursus ursinus,1653
Pseuderanthemum maculatum,189
Riopa guentheri,53
Secamone emetica,194
Sympis rufibasis,765
Turdoides affinis,2905
Uperodon globulosus,1123
Boiga multifasciata,176
Crotalaria hebecarpa,33
Cyperus rotundus,952
Hibiscus hirtus,412
Impatiens clavicornu,203
Mitrephora heyneana,89
Ochreinauclea missionis,311
Pteris vittata,74
Ruellia simplex,408
Nervilia infundibulifolia,126
Derris trifoliata,464
Eragrostiella bifaria,16
Terminalia citrina,67
Aerides ringens,335
Argiope pulchella,872
Bulbophyllum fimbriatum,638
Cirrochroa thais,2680
Croton hirtus,552
Cryptomeria japonica,18
Dysphania militaris,2911
Hesudra divisa,124
Hypena lividalis,183
Lycodon septentrionalis,178
Mirafra erythroptera,193
Nacaduba kurava,558
Platyplectrurus madurensis,185
Terpsiphone paradisi,8044
Macaranga tanarius,113
Diospyros sulcata,151
Elymnias panthera,12
Hylaeothemis fruhstorferi,62
Persea americana,403
Ailanthus integrifolia,54
Celtis philippensis,115
Chamaenerion latifolium,172
Scleromitrion diffusum,167
Bubalus bubalis,2589
Calotes calotes,3145
Calyptocarpus vialis,241
Canthium coromandelicum,702
Episyrphus balteatus,686
Ictinogomphus pertinax,13
Microstachys chamaelea,658
Osbeckia octandra,66
Pantoporia hordonia,6571
Papilio polymnestor,14250
Perdicula asiatica,309
Salvia coccinea,80
Soymida febrifuga,204
Taccocua leschenaultii,157
Tarebia granifera,101
Tyto longimembris,293
Calletaera postvittata,133
Mortonagrion varralli,526
Phylloscopus collybita,427
Pterocymbium tinctorium,169
Taxus baccata,53
Citrullus colocynthis,272
Bandicota indica,354
Delichon nipalense,11
Sorghum bicolor,204
Striglina scitaria,211
Arctioblepsis rubida,138
Azima tetracantha,330
Chamaecrista absus,276
Chiasmia fidoniata,215
Cordia sebestena,2779
Corynandra chelidonii,607
Eumyias thalassinus,2154
Euphorbia hypericifolia,167
Garrulax albogularis,520
Gomphandra tetrandra,245
Ipomoea pes-caprae,1724
Lemna turionifera,149
Merops orientalis,14440
Morinda coreia,1486
Oligodon arnensis,2411
Orthocabera ocernaria,92
Papilio memnon,2534
Phoenicurus ochruros,890
Prunella himalayana,186
Psolos fuligo,827
Selaginella tenera,6
Shorea robusta,1122
Adenium obesum,1384
Alstroemeria aurea,211
Ebrechtella concinna,13
Episteme adulatrix,1436
Gyrocarpus americanus,160
Hylarana tytleri,350
Scolopendra hardwickei,531
Solanum aethiopicum,0
Agrionoptera insignis,95
Paralaudakia himalayana,172
Platythomisus sudeepi,350
Sphenomorphus indicus,202
Premna punduana,12
Rhene rubrigera,49
Rhinopoma hardwickii,272
Sinna floralis,146
Thunia alba,249
Aerides crispa,1050
Agapetes odontocera,166
Biancaea decapetala,117
Canthium angustifolium,426
Commelina benghalensis,1181
Crocothemis servilia,36773
Cuculus varius,3710
Danaus genutia,19669
Delias acalis,356
Gomalia elma,1386
Hemiprocne coronata,918
Lilium oxypetalum,90
Mycalesis francisca,432
Neptis hylas,17859
Neurothemis intermedia,1118
Ophiopogon intermedius,82
Oryctes rhinoceros,786
Pareronia valeria,5996
Pedicularis zeylanica,117
Pleurolobus gangeticus,528
Prunella vulgaris,188
Rhipidura albicollis,1741
Rhyothemis variegata,27211
Scirpophaga innotata,499
Spialia galba,6842
Strychnos wallichiana,43
Uncia uncia,175
Urapteroides astheniata,40
Zizula hylax,11499
Aerides multiflora,152
Balanophora fungosa,56
Dicliptera paniculata,57
Ixora pavetta,165
Osbeckia muralis,53
Persicaria orientalis,146
Walkerana leptodactyla,74
Cyrtarachne raniceps,54
Lytorhynchus paradoxus,331
Scleropyrum pentandrum,97
Solanum tuberosum,27
Terastia egialealis,150
Tradescantia zebrina,59
Xerochrysum bracteatum,201
Achyranthes bidentata,64
Melligomphus acinaces,158
Pteruthius rufiventer,121
Aglais caschmirensis,3134
Brachydiplax farinosa,1601
Caladium bicolor,1571
Circus pygargus,863
Crocodylus palustris,8339
Cullen corylifolium,77
Drosera burmannii,2174
Elaeocarpus tuberculatus,705
Erythroxylum obtusifolium,11
Euchromia polymena,2749
Eugenia macrosepala,121
Gallinago gallinago,985
Impatiens maculata,126
Pingasa ruginaria,581
Potanthus pava,80
Provespa barthelemyi,209
Pycnonotus luteolus,2610
Rhynchostylis retusa,2084
Xylophis perroteti,665
Bridelia ovata,81
Christisonia tubulosa,220
Dendrobium transparens,271
Phlomoides spectabilis,11
Buteo hemilasius,44
Cyrtopodion scabrum,131
Donella lanceolata,255
Habenaria marginata,478
Memecylon heyneanum,99
Phyllanthus racemosus,238
Ulva lactuca,99
Acalypha capitata,205
Cestrum elegans,7
Chrysanthemum indicum,32
Gymnostachyum glabrum,84
Nyctibatrachus pillaii,191
Tyspanodes nigrolinealis,185
Xestia c-nigrum,122
Acytolepis puspa,8532
Cenchrus pedicellatus,182
Charadrius alexandrinus,1166
Copera marginipes,4206
Copsychus saularis,12365
Elattoneura souteri,371
Euphorbia neriifolia,314
Ixobrychus sinensis,1038
Nymphaea nouchali,1116
Scatophagus argus,183
Ziziphus jujuba,377
Aeschynanthus perrottetii,220
Callicarpa arborea,172
Calotes mystaceus,680
Cupressus funebris,282
Esacus recurvirostris,81
Funaria hygrometrica,210
Platyceps ventromaculatus,51
Senegalia modesta,336
Cadaba fruticosa,785
Chrysorabdia bivitta,58
Curcuma aromatica,32
Dendrobium nodosum,169
Nymphaea mexicana,6
Aristolochia labiata,159
Ceriops tagal,14
Dalader planiventris,99
Grewia rhamnifolia,106
Ruellia ciliatiflora,47
Achillea filipendulina,129
Alysicarpus longifolius,21
Bagrada hilaris,164
Dendrobium fimbriatum,366
Dinopium javanense,817
Iphigenia pallida,138
Laevicaulis alte,3122
Lophoptera squammigera,136
Millettia peguensis,105
Nychogomphus duaricus,165
Portulaca umbraticola,136
Sesbania grandiflora,1530
Timandra convectaria,1
Arisaema propinquum,294
Ipomoea quamoclit,660
Raorchestes johnceei,170
Cupressus cashmeriana,312
Helixanthera wallichiana,204
Plutodes flavescens,233
Senecio scandens,202
Syrmaticus humiae,176
Anisopleura subplatystyla,132
Chlorogomphus mortoni,85
Dipterocarpus turbinatus,198
Gmelina philippensis,54
Lemna perpusilla,78
Operculina turpethum,99
Rhaphicera satricus,148
Aquilaria agallocha,245
Begonia floccifera,432
Breynia androgyna,737
Coracina melanoptera,457
Hylaeothemis apicalis,742
Indigofera linifolia,203
Justicia gendarussa,607
Microphis deocata,72
Ochotona sikimaria,174
Plumeria alba,1587
Riparia riparia,182
Tirumala septentrionis,4433
Aegiceras corniculatum,216
Blainvillea acmella,232
Elattoneura tetrica,91
Euphorbia serpens,356
Nacaduba pactolus,213
Palaquium bourdillonii,41
Perna viridis,78
Prioneris sita,725
Lepus oiostolus,34
Pittosporum dasycaulon,209
Rhododendron lepidotum,43
Actias rhodopneuma,157
Boiga ochracea,25
Canavalia cathartica,114
Cyanotis fasciculata,145
Laticauda laticaudata,109
Mastixia arborea,73
Areca catechu,1746
Arhopala amantes,2510
Arichanna transfasciata,314
Channa barca,236
Garcinia travancorica,67
Hippotion celerio,1267
Indigofera glandulosa,4
Lycodon striatus,1115
Paratrechina longicornis,213
Pycnonotus jocosus,9889
Pyrrhula aurantiaca,163
Scopula emissaria,507
Sebastonyma dolopia,117
Terminalia paniculata,1729
Amyna axis,214
Cansjera rheedei,31
Ceroplastes rubens,194
Leiothrix argentauris,304
Leiothrix lutea,334
Ursus thibetanus,345
Arhopala atrax,649
Celastrina gigas,174
Cyclogomphus ypsilon,59
Flos apidanus,132
Orybina plangonalis,106
Tylototriton himalayanus,179
Dendrelaphis humayuni,458
Dirinaria consimilis,147
Naringi crenulata,358
Paracymoriza albifascialis,41
Aethopyga siparaja,1360
Argyreia osyrensis,131
Calidris alba,218
Dichorragia nesimachus,986
Flacourtia jangomas,1036
Hedychium densiflorum,29
Hulodes drylla,85
Lantana involucrata,95
Mimosa diplotricha,216
Nephele hespera,425
Nicandra physalodes,309
Plexippus paykulli,4421
Polyrhachis rastellata,346
Polytela gloriosae,4732
Pouzolzia zeylanica,698
Pselliophora laeta,151
Pseudois nayaur,600
Psittacula eupatria,2375
Rhene flavicomans,236
Russelia equisetiformis,256
Spodoptera litura,2009
Stemodia verticillata,175
Tarenna asiatica,421
Tephrodornis virgatus,445
Thrigmopoeus truculentus,65
Thyene imperialis,612
Uperodon variegatus,2350
Varanus flavescens,759
Antheraea assamensis,164
Boiga beddomei,603
Ciconia nigra,783
Hypena commixtalis,27
Neurosigma doubledayi,28
Parus nuchalis,377
Achaea serva,123
Aerva javanica,88
Jatropha panduraefolia,159
Desmanthus virgatus,4
Dipterocarpus retusus,113
Anisomeles indica,613
Anser anser,464
Barringtonia racemosa,664
Carica papaya,5677
Ciconia ciconia,365
Cissus woodrowii,7
Citrus maxima,380
Diaphania indica,2539
Hydrophylax leptoglossa,1890
Idiops rubrolimbatus,82
Indotestudo elongata,1382
Ketupa zeylonensis,2519
Lexias dirtea,1921
Macaca silenus,1553
Musca domestica,1653
Psilogramma menephron,485
Syzygium densiflorum,441
Tarucus nara,4238
Thysanoplusia orichalcea,218
Aethopyga ignicauda,276
Arhopala pseudocentaurus,98
Arisaema murrayi,16
Diospyros ebenum,280
Hedychium spicatum,14
Luxiaria phyllosaria,125
Merogomphus longistigma,258
Pandanus unipapillatus,167
Quercus griffithii,24
Fuchsia boliviana,47
Cutia nipalensis,29
Ludwigia peruviana,366
Portunus sanguinolentus,13
Utricularia reticulata,37
Acraea vesta,1931
Atretium schistosum,579
Daphnis nerii,9956
Diospyros oocarpa,271
Eligma narcissus,1162
Gallus gallus,1804
Gastrochilus acaulis,79
Graphium agetes,184
Lanius cristatus,2971
Lymantria similis,157
Pellorneum ruficeps,1924
Thunbergia erecta,1784
Tridax procumbens,2122
Beddomixalus bijui,326
Eumelea ludovicata,440
Hypselobarbus micropogon,64
Oldenlandia umbellata,187
Phyllanthus rotundifolius,176
Metanastria gemella,127
Neope bhadra,7
Nisaga simplex,134
Striga gesnerioides,212
Tringa erythropus,158
Bellis perennis,59
Daphniphyllum neilgherrense,344
Dysgonia simillima,24
Neuracanthus sphaerostachys,0
Psychotria octosulcata,123
Zhangixalus suffry,273
Abelmoschus manihot,235
Alcedo meninting,844
Anathana ellioti,316
Bombax ceiba,8198
Cinnyris lotenius,1706
Polypedates maculatus,10500
Raorchestes ochlandrae,1019
Thalasseus bergii,103
Burmagomphus pyramidalis,211
Equus khur,382
Microhyla nilphamariensis,189
Pyrostegia venusta,57
Steatoda albomaculata,163
Xylocopa tranquebarica,104
Lilium mackliniae,459
Pseudobombax ellipticum,277
Aeschynomene indica,118
Cyperus difformis,114
Ludwigia hyssopifolia,193
Theretra castanea,133
Agriocnemis keralensis,270
Deudorix epijarbas,1767
Ercheia cyllaria,565
Heliophorus brahma,990
Ichthyophis bombayensis,244
Ipomoea deccana,100
Lymantria marginata,571
Microhyla mymensinghensis,175
Monticola solitarius,2086
Pachliopta aristolochiae,12356
Raorchestes ponmudi,1756
Thunbergia mysorensis,348
Zyxomma petiolatum,3737
Batrachostomus moniliger,1599
Impatiens walleriana,391
Ixora notoniana,247
Otus sunia,567
Rondeletia odorata,120
Rubia cordifolia,207
Psychotria truncata,272
Xylocarpus granatum,87
Ziridava xylinaria,198
Adiantum raddianum,150
Prosotas bhutea,133
Aganope thyrsiflora,191
Cestrum aurantiacum,190
Clausena anisata,359
Idea malabarica,1495
Lablab purpureus,949
Mycalesis mineus,7470
Oxytate virens,370
Spelaeornis longicaudatus,180
Spondias pinnata,528
Tirumala limniace,20413
Acacia neriifolia,192
Aix galericulata,187
Ristella travancorica,75
Dinetus racemosus,138
Exacum tetragonum,168
Wahlenbergia marginata,121
Alternanthera paronychioides,345
Emberiza buchanani,155
Enicostema axillare,107
Gasteracantha kuhli,276
Macrolepiota procera,357
Ahaetulla nasuta,4409
Alcea rosea,124
Asota ficus,959
Barleria cristata,658
Brachydiplax chalybea,5511
Charadrius hiaticula,115
Delias eucharis,17375
Dendrelaphis tristis,3830
Garuga pinnata,695
Hasora chromus,8615
Heliophorus sena,1434
Indigofera tinctoria,205
Ipomoea carnea,2169
Lagerstroemia tomentosa,198
Leucas aspera,4096
Mareca falcata,255
Paspalum conjugatum,23
Polistes stigma,583
Psilopogon asiaticus,1570
Psilopogon lineatus,491
Python bivittatus,1458
Utetheisa pulchelloides,1478
Vitis vinifera,336
Albizia procera,326
Asarcornis scutulata,134
Eulophia recurva,200
Jamides elpis,653
Minervarya andamanensis,139
Podranea ricasoliana,55
Pteruthius xanthochlorus,54
Turdus atrogularis,11
Acrostichum aureum,124
Caltoris cahira,68
Gymnadenia orchidis,205
Acropteris iphiata,72
Epiplema himala,199
Flavoparmelia caperata,152
Hellula undalis,51
Rhynchosia capitata,133
Bombyx mori,553
Chamaecrista leschenaultiana,120
Cyperus mindorensis,395
Danaus plexippus,442
Ficus hispida,791
Gliricidia sepium,1770
Hemidactylus flaviviridis,1153
Hippeastrum puniceum,464
Hyposidra talaca,1941
Lepisanthes senegalensis,285
Leptosia nina,17982
Madhuca bourdillonii,63
Neptis namba,346
Pieris canidia,4482
Polyalthia longifolia,4919
Sarcophaga peregrina,200
Saxicola macrorhynchus,165
Sopubia trifida,80
Trochalopteron subunicolor,177
Tropaeolum majus,188
Justicia glauca,470
Malachra alceifolia,0
Peucetia jabalpurensis,330
Zingiber anamalayanum,49
Apodemus sylvaticus,151
Otocryptis beddomei,249
Premna coriacea,132
Anthus similis,114
Budorcas taxicolor,120
Commelina forskaolii,56
Jamesbrittenia dissecta,285
Melicope lunu-ankenda,309
Ardea alba,4164
Axis axis,6465
Byblia ilithyia,3582
Chrysopelea ornata,2369
Elaphe taeniura,214
Hemidactylus maculatus,722
Hydrocotyle javanica,216
Maruca vitrata,5452
Matapa aria,6455
Oligodon albocinctus,1001
Pila virens,363
Scotophilus kuhlii,43
Trachemys scripta,2148
Vanessa cardui,8763
Viburnum punctatum,130
Acalypha hispida,801
Dioscorea alata,167
Equus caballus,403
Gekko nicobarensis,126
Meineckia longipes,4
Balanophora dioica,137
Bulbophyllum stocksii,72
Dianthus caryophyllus,452
Nucifraga caryocatactes,52
Rhinophis fergusonianus,116
Chundana emarginata,76
Cytisus scoparius,95
Hyalobathra phoenicozona,80
Macrosolen capitellatus,10
Monstera adansonii,99
Papilio demodocus,42
Psyra conferta,92
Alpinia calcarata,275
Amherstia nobilis,744
Arctonyx collaris,124
